remarks_text,subject_content_text,,,
   As per report of the Department.,सर् नमस्कार मै PM KISAN SAMMAN NIDHI का लाभार्थी हूं मेरी 5 किस्त आ करके अब रूक गई है कृप्या करके मेरी Land Seeding Yes कर दी जाए सधन्यवाद,,,
   As per report of the Department.,सर् नमस्कार मै PM KISAN SAMMAN NIDHI का लाभार्थी हूं मेरी 6 किस्त आ करके अब रूक गई है कृप्या करके मेरी Land Seeding Yes कर दी जाए सधन्यवाद,,,
   Contact to circle office  ,Shree man mera pm kisan me mera distil se stop kar diya gya hy shree man se binti hy mera docomens janch kar mera apudit kar ke chalu kiya jay,,,
   Debit card has been issued and satisfaction letter is attached,"Financial Services (Banking Division) >> Credit/Debit/ATM Cards Related >> Non-issuance of Credit/Debit/ATM cards

Bank : Punjab National Bank
Branch / Name of Bank and Branch : Qutubgarh/Punjab National Bank 110039
Account Number : X9X8X0X1X1X0X0X4
-----------------------
Punjab National Bank Regarding",,,
   The Role of General Administration Department is to forward your grievance to the concerned Department Hence Your grievance is forwarded to the District collector Bhadrachalam for taking necessary action,Dear CM Sir - Bhadrachalam is a wonderful pilgrim centre and not having enough connectivity.The temple town of Bhadrachalam is situated on the banks of Godavari River but train or bus connectivity is very bad. People of Godavari region are very enthusiastic for visiting bit travel connectivity is not good. Please look into this both from train and bus connectivity point of view.It will be great if you can also enable Government run boat service also feasible for pilgrims to visit temple during appropriate hours. For your kind perusal. Jai Hind Jai Shreeram. Namaste.,,,
  Action taken by the concerned AD.,"Health & Family Welfare >> CGHS Health Centres >> Hospital Services >> Refusal of admission

Location of CGHS centre : Allahabad
CGHS Beneficiary XDX:X6X7X4X5
-----------------------
सेवा में,
      अपर सचिव
      और महानिदेशक।
      सीजीएचएस, कमरा नं.
      244 ए, निर्माण भवन,
      मौलाना आज़ाद रोड,
      नई दिल्ली

कार्यालय ज्ञाप संख्या एस.X1X1X/X9X2X1X-ईएचएस दिनांक 13 सितंबर 2019 के अनुसार वैध सीजीएचएस कार्ड प्रस्तुत करने पर सेवारत कर्मचारी एवं उनके परिवार के सदस्यों को कैशलेस उपचार उपलब्ध नहीं कराने के कारण लोकप्रिय अस्पताल एवं वाराणसी के गैलेक्सी अस्पताल को अयोग्य घोषित करने के संबंध में।

महाशय/महाशया,
                      निवेदन है कि मैं अपनी पत्नी श्रीमती प्रमिला देवी के आपातकालीन उपचार के लिए 24/12/22 को गैलेक्सी अस्पताल, वाराणसी गया था, लेकिन उन्होंने वैंडीलेटर की अनुपलब्धता के कारण भर्ती करने से इनकार कर दिया और उन्होंने कैशलेस उपचार प्रदान करने से इनकार कर दिया। वैध सीजीएचएस कार्ड प्रस्तुत करने के बाद भी उन्होंने अपने प्राथमिक उपचार और एंबुलेंस सेवा प्रदान करने के लिए शुल्क लिया।
      उसके बाद हम निकटतम पोपुुलर अस्पताल, वाराणसी पहुंचे जहां श्रीमती प्रमिला देवी को तुरंत भर्ती कराया गया और ऑक्सीजन सपोर्ट दिया गया।
      इस अस्पताल में भी, मेरा वैध सीजीएचएस कार्ड प्रस्तुत करने के बाद भी हमें कैशलेस उपचार उपलब्ध नहीं कराया गया है।
       इस संबंध में, मैंने अपर निदेशक, सीजीएचएस, इलाहाबाद से मोबाइल/व्हाट्सएप के साथ-साथ ई-मेल (स्क्रीन शॉट संलग्न) के माध्यम से संपर्क किया लेकिन उनकी तरफ से भी कोई कार्रवाई नहीं हुई।
     इसलिए, मुझे दूसरे से पैसे उधार लेकर अस्पताल को भुगतान करना पड़ा।
     इस संबंध में मैंने पहले अस्पताल से अनुमानित राशि का विवरण मांगा तो उन्होंने देने से मना कर दिया लेकिन जब मैंने कहा कि यदि आप अनुमानित राशि नहीं दे रहे हैं तो मैं इस इलाज का खर्चा देने में सक्षम नहीं हूं क्योंकि आपने पहले ही कैशलेस उपचार प्रदान करने से इनकार कर दिया है, तब जाकर उन्होंने मुझे आपातकालीन प्रमाण पत्र के साथ अनुमानित राशि का विवरण प्रदान कीये।
 उसके बाद, 39, जीटीसी, वाराणसी के कमांडिंग ऑफिसर साहब, को सभी प्रासंगिक दस्तावेज प्रस्तुत कर आवश्यक कार्रवाई करते हुए इलाज करवाने का कृपा करें।
       मैं 39 जीटीसी, वाराणसी के कमांडिंग ऑफिसर का बहुत आभारी हूं, जिन्होंने तत्काल कार्रवाई की और पीसीडीएसीसी, लखनऊ को पॉपुलर अस्पताल, वाराणसी को 256300/- रुप",,,
  As per psp system remarks clear copy of mother passport is required. Please submit that copy of further necessary action. ,"External Affairs >> Normal Fresh/ Re-issue Passport application >> Delay in Issuance of passport >> Delay due to police verification

Name of Passport Office : Ghaziabad, PO
File number / ARN No./ Old Passport No. : X-X-X-X-X
Name of Passport Office /Missions/Posts, abroad : VRINDAVAN MATHURA UTTAR PRADESH
-----------------------
RESPECTED SIR,  I APPLIED PASSPORT OF MY SON KRIYANSH AGGARWAL DATED 04/11/2022. NEXT DAY 05/11/2022 POLICE XEXIXIXAXIXN DONE ALONG WITH PHOTO AND  COPY OF IDENTITY CARD IS SUBMITTED. AFTER SUCH A LONG TIME, TODAY I CHECHED THE CURRENT STATUS OF PASSPORT, I COME TO SEE POLICE XEXIXIXAXIXN IS UNDER REVIEW (FILE ATTACHED). PLEASE DO THE NEEDFUL.",,,
"  As per railway record,  there is no authorized crossing in the said location. It is unsafe for both public and passengers to cross track  unauthorizedly. Because of unauthorized crossings track conditions are disturbed.","Railways, ( Railway Board) >> Miscellaneous

Railway Board/ Zone/ PSU/ PU/ Office : Railway Board - Railway Board
-----------------------
To
The Railway Board
SDAH  ER

Location   Madhyamgram

I  further to informing you that the temporary railway line crossing near Madhyamgram station  BT end.  is in a very bad condition. The stones on the side of the line have been moved far enough to cause great danger to the yrain,common people and train passengers at any time. Please look at the matter.  Although it was said that the place will be fixed but not done!
Thanking you
Yours truly
Bhaskar  Mitra
1.1.2023",,,
  As per report of the Department.,"hello sir. in Sonipat Old DC Road near deewan chakki bharam colony The road here is very bad, there are potholes everywhere, people have difficulty in coming and going, vehicles also have problems, potholes get filled with water. 
Sir, I just want to say that please do something, this is my request to you. There is no hearing from the municipal corporation, no one cleans me, please take some action from there.thank you...",,,
  As per report of the Department.,नमस्ते जी मैंने हरियाणा शिक्षा बोर्ड भिवानी भिवानी में दसवीं कक्षा में अपनी माता जी का नाम बदलवाने के लिए दसवीं कक्षा में डाक द्वारा सभी प्रमाण पत्र व फीस सहित रूम नंबर 14 में भेज दिए थे जोकि 26 नवंबर को उनको प्राप्त हो गए थे लेकिन आज मुझे 35 दिन होने के बाद भी डीएमसी नहीं मिल पाई है । मुझे केंद्रीय विद्यालय का फार्म अन्य फॉर्म फिल करने हैं जिसके लिए मुझे दसवीं की कक्षा का प्रमाण पत्र चाहिए इसलिए आपसे अनुरोध है कि मेरा प्रमाणपत्र मेरे घर के पते पर भेज दिया जाए धन्यवाद ।,,,
  As per report of the Department. ,"Health & Family Welfare >> Other
-----------------------
TOP MOST URJENT. 
MERA NAAM RAJKISHORE YADAV HAI SIR MERE SON KA NAAM SHIVAM SINGH HAI SIR 30/12/2022 KO HAMARE PADOSI NE MERE SON KO GHAR KE ANDAR BAND KRKE ITNA MAARA KI USKO CHOTE BHI AAYI AUR USKO RIGHT SIDE EAR SE BLOOD AAYA AUR AB SUNAYI NHI DE RHA HAI MERE SON JISKI DATE OF BIRTH 05/11/2011 HAI MAZAK MAI UNKA MOBILE CHHUPA DIYA THA LEKIN JAB HUM LOGON NE PYAR SE SAMJHAYA TO MERE SON NE UNKA MOBILE DE DIYA LEKIN PHIR BHI  GHAR MAI BAND KRKE MERE SON KO ITNA MAARA KI USKI HALAT KHARAB HO GYI JISKI WAJAH SE MUJHE APNE ESI HOSPITAL XAXAXDXAXAXUX DELHI MAI EMERGENCY MAI ADMIT KARWANA PDA SIR HUMNE 100 NO PAR CALL KRKE COMPLAINT BHI DI AUR UDYOG VIHAR GURGAON POLICE STATION SE EK CONSTABLE AAYA AUR MERE SON SE PUCHH TACHH KI AUR CHALE GY LEKIN RAAT MAI PADOSI JISNE MERE BETE KO MAARA THA JISKA NAAM GUDDU URF RAMASHREY,  MANOJ , SHANTI, ISKI LADKI LAXMI YE LOG BAAR BAAR PHONE KRKE DHAMKI DENE LGE KI APNI COMPLAINT WAPAS LE LO NHI TO ACHHA NHI HOGA SIR INLOGO KO SAHI SE KANUNI KARYWAHI KI JAAY MAI AAPKO PURI DETAIL DE RHA HOO. 

PATIENTS NAME = SHIVAM SINGH. 
ESI NO = X9X1X4X1X7.
ADMISSION NO = X-X-X-X-X. 
MLC NO = 735/22.
ADMIT DATE= 31/12/2022.
TIME = 11:18AM.
. 
MERE SON NE POLICE OFFICER KE SAMNE STATEMENT DIYA KI MUJHE SHANTI, GUDDU URF RAMASHREY, SHANTI KI BETI LAXMI, MANOJ INSAB NE MERE SON KO MAARA HAI ABHI BHI ADMIT HAI ESI HOSPITAL XAXAXDXAXAXUX DELHI MAI MERE SON KO SUNAI NHI DE RHA HAI GLA DABAYA GYA PATHAR SE KAAN PAR MARA  MAI AAPSE REQUEST KRTA HOO KI IN LOGO KE KHILAAF SAKHT KARYWAHI KI JAY. 

DOSHIYO KE NAAM. 
SHANTI X5X0X4X7X4..
LAXMI. 
MANOJ. 
RAMASHREY URF GUDDU. 
ADDRESS. 
C/O SHISHPAL YADAV. 
GOVERNMENT SCHOOL WALI GALI DUNDAHERA GURGAON",,,
  As per report of the Department.  ,"TOP MOST URJENT. 
MERA NAAM RAJKISHORE YADAV HAI SIR MERE SON KA NAAM SHIVAM SINGH HAI SIR 30/12/2022 KO HAMARE PADOSI NE MERE SON KO GHAR KE ANDAR BAND KRKE ITNA MAARA KI USKO CHOTE BHI AAYI AUR USKO RIGHT SIDE EAR SE BLOOD AAYA AUR AB SUNAYI NHI DE RHA HAI MERE SON JISKI DATE OF BIRTH 05/11/2011 HAI MAZAK MAI UNKA MOBILE CHHUPA DIYA THA LEKIN JAB HUM LOGON NE PYAR SE SAMJHAYA TO MERE SON NE UNKA MOBILE DE DIYA LEKIN PHIR BHI  GHAR MAI BAND KRKE MERE SON KO ITNA MAARA KI USKI HALAT KHARAB HO GYI JISKI WAJAH SE MUJHE APNE ESI HOSPITAL XAXAXDXAXAXUX DELHI MAI EMERGENCY MAI ADMIT KARWANA PDA SIR HUMNE 100 NO PAR CALL KRKE COMPLAINT BHI DI AUR UDYOG VIHAR GURGAON POLICE STATION SE EK CONSTABLE AAYA AUR MERE SON SE PUCHH TACHH KI AUR CHALE GY LEKIN RAAT MAI PADOSI JISNE MERE BETE KO MAARA THA JISKA NAAM GUDDU URF RAMASHREY,  MANOJ , SHANTI, ISKI LADKI LAXMI YE LOG BAAR BAAR PHONE KRKE DHAMKI DENE LGE KI APNI COMPLAINT WAPAS LE LO NHI TO ACHHA NHI HOGA SIR INLOGO KO SAHI SE KANUNI KARYWAHI KI JAAY MAI AAPKO PURI DETAIL DE RHA HOO. 

PATIENTS NAME = SHIVAM SINGH. 
ESI NO = X9X1X4X1X7.
ADMISSION NO = X-X-X-X-X. 
MLC NO = 735/22.
ADMIT DATE= 31/12/2022.
TIME = 11:18AM.
. 
MERE SON NE POLICE OFFICER KE SAMNE STATEMENT DIYA KI MUJHE SHANTI, GUDDU URF RAMASHREY, SHANTI KI BETI LAXMI, MANOJ INSAB NE MERE SON KO MAARA HAI ABHI BHI ADMIT HAI ESI HOSPITAL XAXAXDXAXAXUX DELHI MAI MERE SON KO SUNAI NHI DE RHA HAI GLA DABAYA GYA PATHAR SE KAAN PAR MARA  MAI AAPSE REQUEST KRTA HOO KI IN LOGO KE KHILAAF SAKHT KARYWAHI KI JAY. 

DOSHIYO KE NAAM. 
SHANTI X5X0X4X7X4..
LAXMI. 
MANOJ. 
RAMASHREY URF GUDDU. 
ADDRESS. 
C/O SHISHPAL YADAV. 
GOVERNMENT SCHOOL WALI GALI DUNDAHERA GURGAON",,,
"  Complainant has not given his account number and exact  date of  transaction to verify our records, 
In view of above requested to close the complaint.",SIR MY 1180RS  CUT X1X0X/X0X2X  MARE KO PATA NAHI CHAL PAA RAHA HE KA CHARGE HE YE PAHLE BHI KAI BAAR PAYMENT CUT HO CUKA HE,,,
